Data_Hora;LBA10CP001;LBA10CP951A;LBA10CF001A;LBA10CF001B;LAB60CT002;LAB60CT003;LBA10CF901;JEA10CL901;LAB60CF901;LAB60CF001A;LAB60CF001B
27/07/2022;75.67264;75.67015;142.52892;145.39001;161.25998;161.53745;151.6647009;12.21646;1.757773697;1.50728;1.86899
27/07/2022 00:06;75.82887;75.82557;141.96086;144.50699;161.21718;161.49475;151.0946542;12.21522;1.037248024;1.4553;0.53687
27/07/2022 00:12;75.6466;75.64426;141.85759;144.87059;161.17439;161.4734;151.0050552;12.23948;1.337641212;1.35135;1.2178
27/07/2022 00:18;76.4798;76.48605;142.52892;145.02643;161.25998;161.53745;152.4897853;12.21584;0.918134334;1.35135;0.41208
27/07/2022 00:24;75.79415;75.78671;140.77313;143.88365;161.13159;161.43073;150.0937944;12.25068;1.203041077;1.40333;0.90721
27/07/2022 00:30;75.92433;75.91621;143.14861;145.85751;161.08879;161.40938;152.5505118;12.21833;1.619520006;1.35135;1.75911
27/07/2022 00:36;76.5579;76.5508;141.08298;143.57199;161.13159;161.40938;151.0402873;12.23326;1.40350743;1.50728;1.18828
27/07/2022 00:42;75.80283;75.79967;141.65102;144.29921;161.13159;161.40938;150.7893075;12.24197;1.146895496;1.50728;0.69539
27/07/2022 00:48;76.9311;76.92636;141.34117;143.83171;161.08879;161.3667;151.7807091;12.20091;1.110051156;1.55925;0.57259
27/07/2022 00:54;75.86358;75.86442;141.49609;144.24727;161.0032;161.28133;150.758314;12.21398;1.361655029;1.55925;1.05572
27/07/2022 01:00;75.82018;75.82557;142.78712;145.39001;161.08879;161.38803;151.9907943;12.21833;1.829037815;1.50728;2.00556
27/07/2022 01:06;76.15867;76.14933;142.32236;144.87059;161.08879;161.34535;151.8858275;12.21024;1.046249225;1.35135;0.65797
27/07/2022 01:12;75.96773;75.98097;141.85759;144.50699;160.9604;161.30267;151.2237578;12.23326;1.409194063;1.55925;1.147
27/07/2022 01:18;76.73148;76.7321;141.44446;143.83171;161.0032;161.30267;151.5906667;12.23077;1.927939116;1.4553;2.24733
27/07/2022 01:24;76.07188;76.07163;139.63702;142.16953;160.91762;161.2173;148.936235;12.24695;2.018481126;1.55925;2.31707
27/07/2022 01:30;76.35828;76.35654;141.90923;144.76669;160.9604;161.30267;151.8665383;12.2202;1.112303774;1.55925;0.57678
27/07/2022 01:36;76.83563;76.83571;140.56656;142.94868;160.9604;161.25999;150.7833858;12.23762;1.930458163;1.61123;2.09612
27/07/2022 01:42;76.29753;76.30473;140.82477;143.41617;160.91762;161.25999;150.5069401;12.23388;1.790162284;1.35135;2.08656
27/07/2022 01:48;76.01112;76.00687;140.66985;143.36423;160.87482;161.15327;150.0358237;12.20091;1.733960931;1.19543;2.13441
27/07/2022 01:54;76.19338;76.20113;141.13461;143.88365;160.87482;161.17462;150.7895272;12.22642;1.140305117;1.19543;0.99432
27/07/2022 02:00;76.51451;76.51195;139.53374;142.16953;160.87482;161.17462;149.4236128;12.22828;1.667721743;1.50728;1.69532
27/07/2022 02:06;75.99376;75.99392;140.56656;143.36423;160.83202;161.13194;149.9625465;12.21771;1.397743209;1.50728;1.17676
27/07/2022 02:12;76.78356;76.77096;140.46329;142.94868;160.91762;161.2173;150.6561939;12.24197;1.712666782;1.61123;1.67775
27/07/2022 02:18;76.29753;76.29179;138.65585;141.65009;160.81062;161.08925;148.4153576;12.25254;1.327921594;1.29938;1.25056
27/07/2022 02:24;76.06319;76.05868;139.84358;142.63702;160.78922;161.06792;149.2791335;12.20029;1.543062659;1.55925;1.40377
27/07/2022 02:30;76.68809;76.6803;138.86241;141.28648;160.83202;161.13194;148.8079306;12.21087;1.865013647;1.4553;2.12612
27/07/2022 02:36;76.28886;76.29179;140.05016;142.48119;160.78922;161.08925;149.5883752;12.2034;1.863731718;1.4553;2.12357
27/07/2022 02:42;76.67941;76.6803;142.37399;144.76669;160.83202;161.13194;152.5164033;12.20776;1.974232127;1.50728;2.28388
27/07/2022 02:48;75.2734;75.26868;150.68819;152.92184;162.09453;162.43379;159.4013332;12.21895;2.005414301;1.61123;2.24265
27/07/2022 02:54;74.15381;74.15494;166.23209;168.29713;164.76935;165.10155;174.0124967;12.26499;1.040950533;1.2474;0.75604
27/07/2022 03:00;73.33797;73.35201;176.66356;178.89362;167.59398;167.89735;183.7047395;12.25628;1.562637596;1.4553;1.55716
27/07/2022 03:06;73.12099;73.13184;190.50333;192.39894;170.24741;170.56509;197.4713125;12.24384;1.558933476;1.35135;1.65862
27/07/2022 03:12;73.6591;73.67577;202.53566;204.29402;172.83664;173.14748;210.763031;12.22144;0.8893721;1.35135;0.36831
27/07/2022 03:18;71.56745;71.59073;215.13605;216.76048;175.31888;175.62314;219.8604103;12.23762;1.095214956;1.4553;0.66546
